age_group,sex,visibile_minority,family_income,main_activity,likely_future_edu,desired_future_edu,obstacles,obstacles_future_edu
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
35 to 44 years,Female,Visible minority,"$25,000 to $49,999",Going to school,"University first professional degree, such as medicine, d...",University Master's degree,Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
35 to 44 years,Female,Visible minority,"$75,000 to $99,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,College or CEGEP,No,"NA"
25 to 34 years,Female,Visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
15 to 24 years,Male,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Visible minority,"$125,000 or more",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,"University first professional degree, such as medicine, d...",Ph.D. (university-earned doctorate),Yes,Personal health
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,College or CEGEP,College or CEGEP,No,"NA"
15 to 24 years,Male,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Other - Specify
25 to 34 years,Male,Not a visible minority,"$100,000 to $124,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,"NA",College or CEGEP,No,"NA"
15 to 24 years,Male,Not a visible minority,"$100,000 to $124,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
25 to 34 years,Female,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,University bachelor's degree,Yes,Other - Specify
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
25 to 34 years,Male,Visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Visible minority,"$125,000 or more",Going to school,University Master's degree,Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$100,000 to $124,999",Going to school,University Master's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$50,000 to $74,999",Going to school,Ph.D. (university-earned doctorate),University Master's degree,Yes,Financial situation
15 to 24 years,Male,Not a visible minority,"$50,000 to $74,999",Going to school,Other,"University first professional degree, such as medicine, d...",Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
35 to 44 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,University Master's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University bachelor's degree,Yes,Financial situation
25 to 34 years,Female,Not a visible minority,"Less than $25,000",Going to school,Other,University bachelor's degree,Yes,Caring for own children
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,University Master's degree,"University first professional degree, such as medicine, d...",No,"NA"
15 to 24 years,Female,Visible minority,"$75,000 to $99,999",Going to school,College or CEGEP,University bachelor's degree,Yes,Other - Specify
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Visible minority,"$75,000 to $99,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
25 to 34 years,Female,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,College or CEGEP,University Master's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University Master's degree,Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,Non-college/Private/Commercial Certificate/Diploma,Other,No,"NA"
15 to 24 years,Male,Not a visible minority,"$75,000 to $99,999",Going to school,"NA","NA","NA","NA"
15 to 24 years,Male,Visible minority,"$50,000 to $74,999",Going to school,University Master's degree,University Master's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
35 to 44 years,Male,Visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,College or CEGEP,Yes,Financial situation
45 to 54 years,Female,Visible minority,"$25,000 to $49,999",Going to school,University bachelor's degree,Ph.D. (university-earned doctorate),No,"NA"
25 to 34 years,Male,Not a visible minority,"Less than $25,000",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University Master's degree,University Master's degree,No,"NA"
35 to 44 years,Female,Visible minority,"$50,000 to $74,999",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$100,000 to $124,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$25,000 to $49,999",Going to school,College or CEGEP,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"Less than $25,000",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,"University first professional degree, such as medicine, d...","University first professional degree, such as medicine, d...",No,"NA"
15 to 24 years,Male,Not a visible minority,"$25,000 to $49,999",Going to school,Non-college/Private/Commercial Certificate/Diploma,Non-college/Private/Commercial Certificate/Diploma,No,"NA"
15 to 24 years,Female,Not a visible minority,"$75,000 to $99,999",Going to school,Ph.D. (university-earned doctorate),Ph.D. (university-earned doctorate),Yes,Financial situation
15 to 24 years,Female,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
15 to 24 years,Male,Not a visible minority,"$125,000 or more",Going to school,University bachelor's degree,University bachelor's degree,No,"NA"
